IN_IPOPT,IN_NLP
0.288,0.001
0.148,0.001
0.486,0.019
0.17,0.011
0.201,0.011
0.191,0.011
0.244,0.015
0.274,0.015
0.228,0.012
0.243,0.013
0.212,0.012
0.276,0.014
0.186,0.01
0.191,0.011
0.181,0.011
0.201,0.014
0.185,0.011
0.167,0.009
0.148,0.009
0.135,0.007
0.125,0.007
0.12,0.008
0.126,0.007
0.201,0.011
0.121,0.007
0.11,0.006
0.125,0.01
0.126,0.01
0.087,0.007
0.095,0.008
0.091,0.007
0.076,0.005
0.08,0.005
0.092,0.007
0.078,0.005
0.07,0.004
0.133,0.008
0.088,0.006
0.078,0.005
0.083,0.006
0.074,0.006
0.089,0.008
0.084,0.007
0.083,0.008
0.072,0.004
0.086,0.005
0.077,0.005
0.069,0.005
0.097,0.008
0.079,0.006
0.09,0.006
0.078,0.005
0.077,0.006
0.072,0.005
0.075,0.005
0.073,0.004
0.076,0.006
0.069,0.005
0.075,0.006
0.073,0.006
0.072,0.006
0.067,0.005
0.081,0.008
0.076,0.006
0.077,0.007
0.081,0.009
0.081,0.007
0.074,0.007
0.076,0.007
0.078,0.006
0.074,0.005
0.071,0.005
0.068,0.005
0.072,0.005
0.075,0.005
0.07,0.005
0.083,0.006
0.08,0.006
0.074,0.006
0.078,0.006
0.077,0.006
0.079,0.006
0.074,0.006
0.091,0.007
0.08,0.006
0.09,0.007
